objectId;vertex;longitude;latitude;altitude;label;description;feature_class_name;feature_class_category;created_by;created_at;modified_by;modified_at;rotation;area;length;depth;ACCURACY;ANTENNAHEIGHT;RECORDINGMODE;documents;B_Lichtpuntnummer;B_Straat;B_Artikelnr;B_Materiaal;B_open_coupe;B_OBJECT_STATE;B_RDX;B_RDY;B_LPH;B_Foto_huidige_situatie;B_Foto_nieuwe_situatie;B_Opmerking
0;0;5,73927593;50,86199736;45,69;06504//OVL-005530;;107624 - Signify Luma Nano 80% DW;ARMATUREN EN MASTEN;ZIUT ZW Admin;10-10-2025 02:09:16;Gubbels Luuk;16-10-2025 04:15:50;0;0;0;0;0;0;Portal;16_10_2025_16_15_44.jpeg,16_10_2025_16_15_33.jpeg;06504//OVL-005530;Hooverenweg;107624;Signify Luma Nano BGP701 T25 LED1000Lm/727 DW50 FG 80%;nee;Gereed;179789.2370;319190.3820;4;;;
1;0;5,73883529;50,85854438;45,7;09120//OVL-003608;;107624 - Signify Luma Nano 80% DW;ARMATUREN EN MASTEN;ZIUT ZW Admin;10-10-2025 02:09:16;Gubbels Luuk;16-10-2025 02:57:33;0;0;0;0;0;0;Portal;16_10_2025_14_57_20.jpeg,16_10_2025_14_57_05.jpeg;09120//OVL-003608;Molenweg;107624;Signify Luma Nano BGP701 T25 LED1000Lm/727 DW50 FG 80%;nee;Gereed;179760.0590;318806.0940;4;;;
2;0;5,73889797;50,85911697;45,7;09120//OVL-003611;;107624 - Signify Luma Nano 80% DW;ARMATUREN EN MASTEN;ZIUT ZW Admin;10-10-2025 02:09:16;Gubbels Luuk;16-10-2025 02:41:33;0;0;0;0;0;0;Portal;16_10_2025_14_41_26.jpeg,16_10_2025_14_41_19.jpeg;09120//OVL-003611;Molenweg;107624;Signify Luma Nano BGP701 T25 LED1000Lm/727 DW50 FG 80%;nee;Gereed;179764.1660;318869.8150;3,5;;;
3;0;5,73876357;50,85708422;45,7;09120//OVL-003674;;107624 - Signify Luma Nano 80% DW;ARMATUREN EN MASTEN;ZIUT ZW Admin;10-10-2025 02:09:16;Gubbels Luuk;16-10-2025 03:46:00;0;0;0;0;0;0;Portal;16_10_2025_15_45_50.jpeg,16_10_2025_15_45_43.jpeg;09120//OVL-003674;Molenweg;107624;Signify Luma Nano BGP701 T25 LED1000Lm/727 DW50 FG 80%;nee;Gereed;179755.7890;318643.6290;3,5;;;
4;0;5,73890138;50,85872999;45,7;09120//OVL-003609;;107624 - Signify Luma Nano 80% DW;ARMATUREN EN MASTEN;ZIUT ZW Admin;10-10-2025 02:09:16;Gubbels Luuk;16-10-2025 02:51:59;0;0;0;0;0;0;Portal;16_10_2025_14_51_53.jpeg,16_10_2025_14_51_46.jpeg;09120//OVL-003609;Molenweg;107624;Signify Luma Nano BGP701 T25 LED1000Lm/727 DW50 FG 80%;nee;Gereed;179764.6130;318826.7650;3,5;;;
5;0;5,73897339;50,86194217;45,69;06504//OVL-999999;;107624 - Signify Luma Nano 80% DW;ARMATUREN EN MASTEN;ZIUT ZW Admin;10-10-2025 02:09:16;Gubbels Luuk;16-10-2025 04:11:26;0;0;0;0;0;0;Portal;16_10_2025_16_11_16.jpeg,16_10_2025_16_11_09.jpeg;06504//OVL-999999;Hooverenweg;107624;Signify Luma Nano BGP701 T25 LED1000Lm/727 DW50 FG 80%;nee;Gereed;179767.9650;319184.1390;4;;;
6;0;5,73881472;50,8569007;45,7;09120//OVL-003600;;107624 - Signify Luma Nano 80% DW;ARMATUREN EN MASTEN;ZIUT ZW Admin;10-10-2025 02:09:16;Gubbels Luuk;16-10-2025 03:51:15;0;0;0;0;0;0;Portal;16_10_2025_15_51_09.jpeg,16_10_2025_15_51_03.jpeg;09120//OVL-003600;Molenweg;107624;Signify Luma Nano BGP701 T25 LED1000Lm/727 DW50 FG 80%;nee;Gereed;179759.4890;318623.2300;3,5;;;
7;0;5,73863744;50,85655605;45,7;09120//OVL-003598;;107624 - Signify Luma Nano 80% DW;ARMATUREN EN MASTEN;ZIUT ZW Admin;10-10-2025 02:09:16;Gubbels Luuk;16-10-2025 04:03:51;0;0;0;0;0;0;Portal;16_10_2025_16_03_44.jpeg,16_10_2025_16_03_39.jpeg;09120//OVL-003598;Molenweg;107624;Signify Luma Nano BGP701 T25 LED1000Lm/727 DW50 FG 80%;nee;Gereed;179747.1900;318584.8290;3,5;;;
8;0;5,73888874;50,85833968;45,7;09120//OVL-003607;;107624 - Signify Luma Nano 80% DW;ARMATUREN EN MASTEN;ZIUT ZW Admin;10-10-2025 02:09:16;Gubbels Luuk;16-10-2025 03:02:24;0;0;0;0;0;0;Portal;16_10_2025_15_02_18.jpeg,16_10_2025_15_02_09.jpeg;09120//OVL-003607;Molenweg;107624;Signify Luma Nano BGP701 T25 LED1000Lm/727 DW50 FG 80%;nee;Gereed;179763.9320;318783.3400;4;;;
9;0;5,73881699;50,85813294;45,7;09120//OVL-003606;;107624 - Signify Luma Nano 80% DW;ARMATUREN EN MASTEN;ZIUT ZW Admin;10-10-2025 02:09:16;Gubbels Luuk;16-10-2025 03:07:38;0;0;0;0;0;0;Portal;16_10_2025_15_07_32.jpeg,16_10_2025_15_07_26.jpeg;09120//OVL-003606;Molenweg;107624;Signify Luma Nano BGP701 T25 LED1000Lm/727 DW50 FG 80%;nee;Gereed;179758.9900;318760.3160;3,5;;;
10;0;5,73886568;50,85725111;45,7;09120//OVL-003601;;107624 - Signify Luma Nano 80% DW;ARMATUREN EN MASTEN;ZIUT ZW Admin;10-10-2025 02:09:16;Gubbels Luuk;16-10-2025 03:36:07;0;0;0;0;0;0;Portal;16_10_2025_15_36_02.jpeg,16_10_2025_15_35_55.jpeg;09120//OVL-003601;Molenweg;107624;Signify Luma Nano BGP701 T25 LED1000Lm/727 DW50 FG 80%;nee;Gereed;179762.8900;318662.2300;3,5;;;
11;0;5,73883966;50,85891479;45,7;09120//OVL-003610;;107624 - Signify Luma Nano 80% DW;ARMATUREN EN MASTEN;ZIUT ZW Admin;10-10-2025 02:09:16;Gubbels Luuk;16-10-2025 02:46:36;0;0;0;0;0;0;Portal;16_10_2025_14_46_27.jpeg,16_10_2025_14_46_18.jpeg;09120//OVL-003610;Molenweg;107624;Signify Luma Nano BGP701 T25 LED1000Lm/727 DW50 FG 80%;nee;Gereed;179760.1680;318847.3030;3,5;;;
12;0;5,73886682;50,85796656;45,7;09120//OVL-003605;;107624 - Signify Luma Nano 80% DW;ARMATUREN EN MASTEN;ZIUT ZW Admin;10-10-2025 02:09:16;Gubbels Luuk;16-10-2025 03:12:31;0;0;0;0;0;0;Portal;16_10_2025_15_12_25.jpeg,16_10_2025_15_12_11.jpeg;09120//OVL-003605;Molenweg;107624;Signify Luma Nano BGP701 T25 LED1000Lm/727 DW50 FG 80%;nee;Gereed;179762.5880;318741.8230;3,5;;;
13;0;5,73888423;50,85950906;45,7;09120//OVL-003613;;107624 - Signify Luma Nano 80% DW;ARMATUREN EN MASTEN;ZIUT ZW Admin;10-10-2025 02:09:16;Gubbels Luuk;16-10-2025 02:31:28;0;0;0;0;0;0;Portal;16_10_2025_14_31_22.jpeg,16_10_2025_14_31_14.jpeg;09120//OVL-003613;Molenweg;107624;Signify Luma Nano BGP701 T25 LED1000Lm/727 DW50 FG 80%;nee;Gereed;179762.9890;318913.4300;3,5;;;
